mes,codigo_producto,metodo,prediccion,inferior,superior,half_width,alpha_aci
2025-03-01,TG00047NSE4P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NT04P,ANIO_ANTERIOR,0.0,0.0,1.0,1.0,0.11000000000000004
2025-03-01,TG00047NU04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NV04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NX04P,ANIO_ANTERIOR,0.0,0.0,1.0,1.0,0.11000000000000004
2025-03-01,TG00047NY04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NZ04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000515ERMP,ANIO_ANTERIOR,0.0,0.0,0.6,0.6,0.11000000000000004
2025-03-01,TG000515ERRP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ALAE,ANIO_ANTERIOR,0.0,0.0,158.0,158.0,0.060000000000000026
2025-03-01,TG000624ALAP,ANIO_ANTERIOR,0.0,0.0,87.0,87.0,0.11000000000000004
2025-03-01,TG000624ALGE,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ALGP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ALME,ANIO_ANTERIOR,0.0,0.0,52.0,52.0,0.11000000000000004
2025-03-01,TG000624ALMP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ALRE,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ALRP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ELAC,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ELAP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ELGC,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ELGP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ELMC,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ELMP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ELRC,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624ELRP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000624LLAP,ANIO_ANTERIOR,45182.0,0.0,90364.0,45182.0,0.060000000000000026
2025-03-01,TG000626ELAP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000626ELAP1,ANIO_ANTERIOR,75550.0,0.0,192821.0,117271.0,0.04500000000000001
2025-03-01,TG000626ELAP2,ANIO_ANTERIOR,0.0,0.0,71316.0,71316.0,0.060000000000000026
2025-03-01,TG000626ELMP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000626ELMP1,ANIO_ANTERIOR,0.0,0.0,14472.0,14472.0,0.04500000000000001
2025-03-01,TG000626ELMP2,ANIO_ANTERIOR,0.0,0.0,1435.0,1435.0,0.11000000000000004
2025-03-01,TG000626ELRP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000626ELRP1,ANIO_ANTERIOR,9300.0,0.0,30272.0,20972.0,0.01
2025-03-01,TG000626ELRP2,ANIO_ANTERIOR,9660.0,0.0,27660.0,18000.0,0.060000000000000026
2025-03-01,TG000630ELAP,ANIO_ANTERIOR,0.0,0.0,2300.0,2300.0,0.11000000000000004
2025-03-01,TG000725ALAE,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALAE1,ANIO_ANTERIOR,35.0,0.0,568.0,533.0,0.060000000000000026
2025-03-01,TG000725ALAP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALAP1,ANIO_ANTERIOR,462.0,0.0,5718.0,5256.0,0.11000000000000004
2025-03-01,TG000725ALAP2,ANIO_ANTERIOR,0.0,0.0,1716.0,1716.0,0.020000000000000004
2025-03-01,TG000725ALAX,ANIO_ANTERIOR,0.0,0.0,100.0,100.0,0.11000000000000004
2025-03-01,TG000725ALFP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALIP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALME,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALME1,ANIO_ANTERIOR,20.0,0.0,442.0,422.0,0.060000000000000026
2025-03-01,TG000725ALME2,ANIO_ANTERIOR,9.0,0.0,168.0,159.0,0.030000000000000006
2025-03-01,TG000725ALMP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALMP1,ANIO_ANTERIOR,1.0,0.0,1454.0,1453.0,0.05000000000000002
2025-03-01,TG000725ALMP2,ANIO_ANTERIOR,608.0,0.0,2935.0,2327.0,0.015000000000000001
2025-03-01,TG000725ALOP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALQP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALRE,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALRE1,ANIO_ANTERIOR,332.0,0.0,1976.0,1644.0,0.05500000000000002
2025-03-01,TG000725ALRE2,ANIO_ANTERIOR,200.0,0.0,2248.0,2048.0,0.025000000000000005
2025-03-01,TG000725ALRESR,ANIO_ANTERIOR,0.0,0.0,140.0,140.0,0.11000000000000004
2025-03-01,TG000725ALRP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALRP1,ANIO_ANTERIOR,643.0,0.0,4932.0,4289.0,0.11000000000000004
2025-03-01,TG000725ALRP2,ANIO_ANTERIOR,440.0,0.0,2582.0,2142.0,0.060000000000000026
2025-03-01,TG000725ALSE,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALSP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALTE,ANIO_ANTERIOR,0.0,0.0,18.0,18.0,0.11000000000000004
2025-03-01,TG000725ALTP,ANIO_ANTERIOR,100.0,0.0,2532.0,2432.0,0.020000000000000004
2025-03-01,TG000725ALVP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALWP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ALYE,ANIO_ANTERIOR,0.0,0.0,403.0,403.0,0.11000000000000004
2025-03-01,TG000725ALYP,ANIO_ANTERIOR,50.0,0.0,412.0,362.0,0.015000000000000001
2025-03-01,TG000725ARAE,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ARAP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ARAP1,ANIO_ANTERIOR,0.0,0.0,500.0,500.0,0.010000000000000016
2025-03-01,TG000725ARAP2,ANIO_ANTERIOR,0.0,0.0,9.0,9.0,0.11000000000000004
2025-03-01,TG000725ARFP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000725ARIP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
