codigo_producto,metodo,tiene_hiperparametros,n_scores_aci,alpha_aci
TG000725ARRP2,ANIO_ANTERIOR,False,12,0.01
TG000725ARSE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARSP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARTE,ANIO_ANTERIOR,False,12,0.025000000000000005
TG000725ARTP,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000725ARVP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARWP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARYE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARYP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725SRMP,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000725SRRP,ANIO_ANTERIOR,False,12,0.060000000000000026
TG000820ALRP,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000920CLDP,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000920CLJP,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000920CLPP,ANIO_ANTERIOR,False,12,0.05000000000000002
TG000920CLRP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001010ALRE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001010ALTP,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001010ARAE,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001010ARQE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001010ARRE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001010ARRE1,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001010ARRE2,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001010ARRP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001010ARRP1,ANIO_ANTERIOR,False,12,0.060000000000000026
TG001010ARRP2,ANIO_ANTERIOR,False,12,0.060000000000000026
TG001020ALAE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001020ALAE1,ANIO_ANTERIOR,False,12,0.05500000000000002
TG001020ALAE2,ANIO_ANTERIOR,False,12,0.015000000000000001
TG001020ALAESR,ANIO_ANTERIOR,False,12,0.010000000000000016
TG001020ALAP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001020ALAP1,ANIO_ANTERIOR,False,12,0.010000000000000016
TG001020ALAP2,ANIO_ANTERIOR,False,12,0.05500000000000002
TG001020ALDE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001020ALDE1,ANIO_ANTERIOR,False,12,0.05000000000000002
TG001020ALDE2,ANIO_ANTERIOR,False,12,0.025000000000000005
TG001020ALDESR,ANIO_ANTERIOR,False,12,0.04000000000000001
TG001020ALDP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001020ALDP1,ANIO_ANTERIOR,False,12,0.05500000000000002
TG001020ALDP2,ANIO_ANTERIOR,False,12,0.015000000000000001
TG001020ALFP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001020ALJE,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001020ALME,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001020ALME1,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001020ALME2,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001020ALMP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001020ALMP1,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001020ALMP2,ANIO_ANTERIOR,False,12,0.025000000000000005
TG001020ALRE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001020ALRE1,ANIO_ANTERIOR,False,12,0.060000000000000026
TG001020ALRE2,ANIO_ANTERIOR,False,12,0.05000000000000002
TG001020ALRESR,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001020ALRP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001020ALRP1,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001020ALRP2,ANIO_ANTERIOR,False,12,0.04000000000000001
TG001020ALRX,ANIO_ANTERIOR,False,12,0.060000000000000026
TG001020ALYP,ANIO_ANTERIOR,False,12,0.01
TG001020CLAE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001020CLAP,ANIO_ANTERIOR,False,12,0.060000000000000026
TG001020CLRE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG001020CLRE1,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001020CLRP,ANIO_ANTERIOR,False,12,0.060000000000000026
TG001020CLRP1,ANIO_ANTERIOR,False,12,0.04500000000000001
TG001020CLRP2,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001515BLRP,ANIO_ANTERIOR,False,12,0.11000000000000004
TG001515BLRP1,ANIO_ANTERIOR,False,12,0.11000000000000004
TG002020BLAE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG002020BLAP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG002020BLRE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG002020BLRP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG002020CLAE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG002020CLAP,ANIO_ANTERIOR,False,12,0.060000000000000026
TG002020CLCP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG002020CLJB,ANIO_ANTERIOR,False,12,0.16000000000000006
TG002020CLRP,ANIO_ANTERIOR,False,12,0.01
TG002025CLAE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG002025CLAP,ANIO_ANTERIOR,False,12,0.060000000000000026
TG002025CLCP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG002025CLRE,ANIO_ANTERIOR,False,12,0.11000000000000004
TG002025CLRP,ANIO_ANTERIOR,False,12,0.04000000000000001
TG002525CLAP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG003122JLME,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00314NGU1P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00314NGU2P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00314NSE1P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00314NSE2P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00314NSE3P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00505T044P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00707T043P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N101P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N102P,ANIO_ANTERIOR,False,12,0.16000000000000006
